iter	Passed	Remaining
0	3	1078
1	7	1100
2	10	1042
3	13	1027
4	17	1005
5	22	1109
6	26	1122
7	29	1084
8	32	1058
9	39	1147
10	44	1156
11	47	1147
12	54	1210
13	59	1212
14	62	1194
15	65	1171
16	71	1185
17	74	1174
18	77	1150
19	81	1135
20	84	1123
21	87	1106
22	90	1086
23	92	1067
24	95	1052
25	98	1040
26	102	1031
27	104	1015
28	107	1001
29	110	990
30	113	981
31	116	977
32	119	966
33	121	954
34	124	943
35	127	932
36	130	924
37	133	917
38	135	908
39	138	900
40	141	894
41	144	886
42	148	886
43	151	878
44	153	871
45	156	862
46	158	854
47	161	850
48	164	844
49	167	838
50	170	831
51	172	824
52	175	817
53	179	816
54	181	809
55	184	803
56	186	796
57	189	790
58	192	786
59	195	782
60	198	776
61	200	771
62	203	765
63	206	760
64	210	759
65	212	753
66	215	750
67	218	746
68	222	743
69	226	745
70	229	740
71	232	734
72	234	729
73	237	724
74	240	721
75	244	719
76	246	714
77	249	709
78	251	704
79	254	700
80	258	697
81	260	693
82	263	688
83	265	683
84	268	679
85	272	677
86	274	672
87	277	668
88	279	663
89	282	659
90	285	655
91	288	652
92	291	648
93	293	643
94	296	639
95	298	635
96	302	633
97	306	630
98	308	626
99	311	622
100	313	618
101	316	614
102	320	612
103	323	609
104	326	606
105	329	602
106	332	599
107	337	599
108	340	596
109	343	592
110	346	589
111	349	586
112	352	583
113	355	579
114	357	575
115	360	571
116	363	567
117	366	565
118	369	561
119	371	557
120	374	553
121	377	550
122	379	546
123	383	544
124	385	540
125	388	536
126	391	532
127	393	529
128	397	526
129	400	523
130	402	519
131	404	515
132	407	511
133	410	508
134	413	505
135	416	502
136	418	498
137	421	494
138	424	491
139	427	488
140	430	485
141	432	481
142	435	477
143	438	474
144	440	471
145	443	468
146	446	464
147	449	461
148	451	457
149	454	454
150	457	451
151	460	448
152	463	445
153	465	441
154	468	438
155	471	435
156	475	432
157	477	429
158	480	426
159	483	422
160	485	419
161	488	416
162	492	413
163	495	410
164	497	407
165	500	403
166	502	400
167	506	397
168	509	394
169	511	391
170	514	387
171	516	384
172	519	381
173	523	378
174	525	375
175	528	372
176	531	369
177	533	365
178	536	362
179	540	360
180	542	356
181	545	353
182	547	350
183	550	346
184	553	344
185	556	341
186	559	337
187	561	334
188	564	331
189	566	328
190	570	325
191	573	322
192	575	319
193	578	315
194	580	312
195	584	309
196	587	306
197	589	303
198	592	300
199	594	297
200	597	294
201	600	291
202	603	288
203	605	285
204	608	281
205	610	278
206	613	275
207	617	273
208	620	270
209	623	267
210	626	264
211	629	261
212	633	258
213	635	255
214	638	252
215	640	249
216	643	246
217	646	243
218	649	240
219	652	237
220	654	234
221	657	230
222	659	227
223	663	225
224	666	222
225	668	219
226	671	215
227	674	212
228	677	209
229	680	207
230	682	203
231	685	200
232	688	197
233	690	194
234	694	192
235	697	189
236	699	185
237	702	182
238	705	179
239	708	177
240	711	174
241	714	171
242	716	168
243	719	165
244	722	162
245	725	159
246	728	156
247	730	153
248	733	150
249	736	147
250	738	144
251	742	141
252	745	138
253	747	135
254	750	132
255	753	129
256	756	126
257	759	123
258	762	120
259	764	117
260	767	114
261	769	111
262	773	108
263	776	105
264	778	102
265	781	99
266	783	96
267	786	93
268	790	91
269	792	88
270	795	85
271	797	82
272	800	79
273	803	76
274	806	73
275	808	70
276	811	67
277	814	64
278	816	61
279	820	58
280	822	55
281	825	52
282	828	49
283	831	46
284	835	43
285	838	41
286	841	38
287	844	35
288	846	32
289	849	29
290	852	26
291	854	23
292	857	20
293	859	17
294	862	14
295	866	11
296	868	8
297	871	5
298	873	2
299	876	0
