iter	Passed	Remaining
0	94	94741
1	200	100165
2	305	101431
3	407	101356
4	502	100094
5	603	99932
6	728	103299
7	839	104087
8	968	106606
9	1068	105830
10	1173	105491
11	1269	104536
12	1359	103231
13	1452	102330
14	1543	101355
15	1636	100630
16	1728	99921
17	1831	99922
18	1928	99591
19	2021	99055
20	2110	98399
21	2204	98020
22	2312	98222
23	2431	98900
24	2533	98823
25	2634	98701
26	2749	99082
27	2867	99556
28	2994	100274
29	3113	100670
30	3219	100650
31	3312	100212
32	3401	99674
33	3494	99294
34	3581	98757
35	3667	98210
36	3766	98025
37	3865	97864
38	3978	98026
39	4084	98017
40	4187	97947
41	4287	97795
42	4382	97527
43	4475	97243
44	4568	96945
45	4655	96541
46	4747	96267
47	4837	95948
48	4933	95752
49	5025	95489
50	5120	95272
51	5215	95078
52	5304	94782
53	5398	94576
54	5495	94420
55	5594	94307
56	5690	94148
57	5782	93914
58	5874	93700
59	5969	93526
60	6067	93398
61	6168	93322
62	6265	93191
63	6359	93013
64	6443	92693
65	6539	92545
66	6647	92570
67	6739	92366
68	6833	92197
69	6922	91975
70	7014	91775
71	7111	91661
72	7206	91509
73	7306	91427
74	7398	91244
75	7493	91108
76	7587	90955
77	7681	90800
78	7775	90652
79	7869	90501
80	7960	90314
81	8047	90091
82	8140	89936
83	8231	89760
84	8319	89553
85	8403	89310
86	8494	89139
87	8585	88977
88	8678	88835
89	8770	88675
90	8855	88458
91	8948	88314
92	9040	88167
93	9135	88053
94	9229	87919
95	9319	87754
96	9410	87606
97	9517	87603
98	9619	87551
99	9721	87493
100	9829	87487
101	9927	87397
102	10018	87248
103	10113	87130
104	10208	87015
105	10309	86947
106	10401	86805
107	10493	86668
108	10581	86493
109	10670	86334
110	10757	86160
111	10861	86117
112	10952	85972
113	11048	85868
114	11162	85901
115	11265	85847
116	11355	85702
117	11449	85582
118	11536	85405
119	11629	85284
120	11716	85112
121	11808	84983
122	11908	84906
123	11994	84734
124	12086	84602
125	12180	84487
126	12265	84309
127	12353	84160
128	12434	83958
129	12511	83731
130	12602	83598
131	12692	83465
132	12780	83314
133	12865	83143
134	12963	83061
135	13049	82904
136	13144	82801
137	13249	82759
138	13371	82825
139	13496	82904
140	13607	82901
141	13714	82864
142	13807	82748
143	13902	82640
144	13988	82484
145	14084	82387
146	14174	82252
147	14263	82109
148	14352	81971
149	14441	81834
150	14533	81713
151	14627	81604
152	14715	81462
153	14803	81323
154	14891	81182
155	14978	81040
156	15061	80871
157	15155	80767
158	15238	80603
159	15332	80496
160	15423	80372
161	15521	80289
162	15618	80198
163	15706	80064
164	15794	79930
165	15879	79782
166	15969	79655
167	16059	79532
168	16146	79392
169	16235	79267
170	16336	79198
171	16433	79107
172	16523	78987
173	16612	78862
174	16703	78743
175	16794	78630
176	16886	78516
177	16975	78393
178	17068	78288
179	17163	78187
180	17254	78075
181	17346	77964
182	17455	77930
183	17596	78036
184	17709	78019
185	17815	77966
186	17914	77885
187	18014	77808
188	18121	77757
189	18231	77723
190	18337	77670
191	18436	77587
192	18596	77757
193	18713	77746
194	18872	77908
195	19044	78120
196	19195	78242
197	19332	78306
198	19440	78249
199	19567	78269
200	19686	78257
201	19776	78128
202	19871	78016
203	19967	77911
204	20065	77815
205	20183	77793
206	20304	77785
207	20430	77792
208	20541	77744
209	20643	77659
210	20735	77535
211	20833	77437
212	20954	77424
213	21060	77352
214	21153	77235
215	21245	77114
216	21336	76989
217	21429	76871
218	21541	76821
219	21633	76699
220	21724	76577
221	21806	76422
222	21900	76308
223	22003	76227
224	22111	76160
225	22207	76055
226	22307	75963
227	22408	75874
228	22511	75790
229	22630	75763
230	22731	75674
231	22837	75598
232	22940	75518
233	23058	75481
234	23175	75444
235	23291	75399
236	23404	75348
237	23512	75280
238	23622	75217
239	23738	75172
240	23856	75133
241	23977	75103
242	24099	75075
243	24217	75035
244	24331	74979
245	24454	74953
246	24598	74991
247	24749	75047
248	24884	75052
249	25002	75008
250	25104	74912
251	25190	74771
252	25282	74648
253	25370	74513
254	25469	74409
255	25561	74288
256	25646	74145
257	25745	74043
258	25850	73957
259	25957	73877
